epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
20292,10105902,10106002,10106102,43054430665,42945000000,10823361987357869119,5537724570136785731,5285637417221083388,5285637417221083388,10498661127737133045,True
20293,10106005,10106105,10106205,42945000000,43113000000,27299746895983016001,25556164352208785483,1743582543774230518,25556164352208785483,26480754489103525520,True
20294,10106108,10106208,10106308,43113000000,43059000000,10214958818167072625,6504445086052228788,3710513732114843837,3710513732114843837,9908510053622060446,True
20295,10106211,10106311,10106411,43059000000,43087486919,8719250350336049978,3886706834793980082,4832543515542069896,3886706834793980082,8457672839825968478,True
20296,10106314,10106414,10106514,43087486919,43044895558,12687622706045769688,10288352008292688607,2399270697753081081,2399270697753081081,12306994024864396597,True
20297,10106418,10106518,10106618,43044895558,43055000000,14380636403541566498,10968143846196850593,3412492557344715905,10968143846196850593,13949217311435319503,True
20298,10106521,10106621,10106721,43055000000,43075000000,14626048535773058848,9684726725222282114,4941321810550776734,9684726725222282114,14187267079699867082,True
20299,10106624,10106724,10106824,43075000000,43100198810,19527393656326725494,14440725940683101917,5086667715643623577,14440725940683101917,18941571846636923729,True
20300,10106727,10106827,10106927,43100198810,43144859827,15335646260358032074,11617436915170362053,3718209345187670021,11617436915170362053,14875576872547291111,True
20301,10106830,10106930,10107030,43144859827,43334099144,25773793550122192865,21220220839727506544,4553572710394686321,21220220839727506544,25000579743618527079,True
20302,10106933,10107033,10107133,43334099144,43319595858,13489014480831562600,4990174229746552683,8498840251085009917,8498840251085009917,13084344046406615722,True
20303,10107037,10107137,10107237,43319595858,43215828647,11187662048485968117,5835780680914206735,5351881367571761382,5351881367571761382,10852032187031389073,True
20304,10107140,10107240,10107340,43215828647,43363668804,10999227670360297472,3451954141149922816,7547273529210374656,3451954141149922816,10669250840249488547,True
20305,10107243,10107343,10107443,43363668804,43428758527,18177578037447761987,14372512762273130721,3805065275174631266,14372512762273130721,17632250696324329127,True
20306,10107347,10107447,10107547,43428758527,43497000000,30584959070419572776,25891627709206338095,4693331361213234681,25891627709206338095,29667410298306985592,True
20307,10107450,10107550,10107650,43497000000,43409503877,16478728279875445120,3774469699043865982,12704258580831579138,12704258580831579138,15984366431479181766,True
20308,10107553,10107653,10107753,43409503877,43487298260,12994289380703371490,8001987972413071227,4992301408290300263,8001987972413071227,12604460699282270345,True
20309,10107657,10107757,10107857,43487298260,43480906024,23218155947510186687,19040065741003478232,4178090206506708455,4178090206506708455,22521611269084881086,True
20310,10107760,10107860,10107960,43480906024,43439000000,11951025379632414463,7354846963707946509,4596178415924467954,4596178415924467954,11592494618243442029,True
20311,10107865,10107965,10108065,43439000000,43175412904,17885759533973675044,7256315523548430819,10629444010425244225,10629444010425244225,17349186747954464792,True
20312,10107969,10108069,10108169,43175412904,43197944696,15087916183094251706,5334269867996152784,9753646315098098922,5334269867996152784,14635278697601424154,True
20313,10108073,10108173,10108273,43197944696,43124000000,14500386293332513959,11369759967232787655,3130626326099726304,3130626326099726304,14065374704532538540,True
20314,10108176,10108276,10108376,43124000000,43010718280,12278997071095869747,6735468667745589586,5543528403350280161,5543528403350280161,11910627158962993654,True
20315,10108280,10108380,10108480,43010718280,42943455104,19487626952273979808,3115525426815272210,16372101525458707598,16372101525458707598,18902998143705760413,True
20316,10108384,10108484,10108584,42943455104,42978000000,13157414641196116336,8805835684777996957,4351578956418119379,8805835684777996957,12762692201960232845,True
20317,10108488,10108588,10108688,42978000000,42987569240,18494804699302179459,15616124674776593505,2878680024525585954,15616124674776593505,17939960558323114075,True
20318,10108590,10108690,10108790,42987569240,42696257464,9156370534559200916,6627488090439690294,2528882444119510622,2528882444119510622,8881679418522424888,True
20319,10108693,10108793,10108893,42696257464,42711953722,18836150428536297183,15044221524108429303,3791928904427867880,15044221524108429303,18271065915680208267,True
20320,10108796,10108896,10108996,42711953722,42723410910,16919409175317952803,12647600845032803629,4271808330285149174,12647600845032803629,16411826900058414218,True
20321,10108899,10108999,10109099,42723410910,42730728432,13118621273910621628,9889049867982365290,3229571405928256338,9889049867982365290,12725062635693302979,True
20322,10109003,10109103,10109203,42730728432,42741143329,11546016875794656638,6894712788726512689,4651304087068143949,6894712788726512689,11199636369520816938,True
20323,10109107,10109207,10109307,42741143329,42861635575,18284048360648742998,12624167985519971795,5659880375128771203,12624167985519971795,17735526909829280708,True
20324,10109210,10109310,10109410,42861635575,43029000000,19305982778432007074,16222575919659058750,3083406858772948324,16222575919659058750,18726803295079046861,True
20325,10109313,10109413,10109513,43029000000,43051375872,11072811629287569751,4051400982907235820,7021410646380333931,4051400982907235820,10740627280408942658,True
20326,10109415,10109515,10109615,43051375872,42972821489,13388187411487870156,9514072958677794401,3874114452810075755,3874114452810075755,12986541789143234051,True
20327,10109518,10109618,10109718,42972821489,42940032137,18985163696172604397,6659348307428428318,12325815388744176079,12325815388744176079,18415608785287426265,True
20328,10109622,10109722,10109822,42940032137,42907158823,14126970839420996354,7941520008246142776,6185450831174853578,6185450831174853578,13703161714238366463,True
20329,10109725,10109825,10109925,42907158823,42780644363,17118029754199140860,3343608609461154111,13774421144737986749,13774421144737986749,16604488861573166634,True
20330,10109829,10109929,10110029,42780644363,42602000000,23528856906975895556,2532037237985003029,20996819668990892527,20996819668990892527,22822991199766618689,True
20331,10109932,10110032,10110132,42602000000,42643913433,20486653998644406757,14726302046937000800,5760351951707405957,14726302046937000800,19872054378685074554,True
20332,10110036,10110136,10110236,42643913433,42511772056,25152801062000007789,19194430402484985240,5958370659515022549,5958370659515022549,24398217030140007555,True
20333,10110140,10110240,10110340,42511772056,42362471414,44169736239240133988,6547955483361505158,37621780755878628830,37621780755878628830,42844644152062929968,True
20334,10110243,10110343,10110443,42362471414,42474044737,19843767934160817170,14416653028876441157,5427114905284376013,14416653028876441157,19248454896135992654,True
20335,10110347,10110447,10110547,42474044737,42395440424,20700052665678337759,12171307900341312027,8528744765337025732,8528744765337025732,20079051085707987626,True
20336,10110450,10110550,10110650,42395440424,42419000000,48909235855657433275,10765502948197975947,38143732907459457328,10765502948197975947,47441958779987710276,True
20337,10110554,10110654,10110754,42419000000,42392985272,20795207122984073964,14448919407194356211,6346287715789717753,6346287715789717753,20171350909294551745,True
