epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
0,0,0,0,0,0,0,0,0,0,0,False
1,6951937,6952037,6952137,54997895283,55301865660,0,0,0,0,0,True
2,6952040,6952140,6952240,55301865660,55511901055,388053500296709649,266442751650730388,121610748645979261,266442751650730388,11641605008901289,True
3,6952143,6952243,6952343,55511901055,55460958560,7007541259774026611,4457928854014466286,2549612405759560325,2549612405759560325,210226237793220798,True
4,6952245,6952345,6952445,55460958560,55525223505,16729949714394361591,8239060409110084686,8490889305284276905,8239060409110084686,16228051222962530743,True
5,6952347,6952447,6952547,55525223505,55732000000,26331973913118814277,16529556613752410697,9802417299366403580,16529556613752410697,25542014695725249848,True
6,6952450,6952550,6952650,55732000000,55700000000,37715507851197623285,21603903821881465364,16111604029316157921,16111604029316157921,36584042615661694586,True
7,6952553,6952653,6952753,55700000000,55790332516,22416874702524014690,13132656082612427454,9284218619911587236,13132656082612427454,21744368461448294249,True
8,6952656,6952756,6952856,55790332516,55825893449,45030181579759206638,34040893109852930208,10989288469906276430,34040893109852930208,43679276132366430438,True
9,6952759,6952859,6952959,55825893449,55593778134,36310475561171545566,19524738321085436979,16785737240086108587,16785737240086108587,35221161294336399199,True
10,6952862,6952962,6953062,55593778134,55422647799,37877909581204476945,20982517635246025084,16895391945958451861,16895391945958451861,36741572293768342636,True
11,6952965,6953065,6953165,55422647799,55409524584,43144461988813378405,27119245383444782900,16025216605368595505,16025216605368595505,41850128129148977052,True
12,6953068,6953168,6953268,55409524584,55492565020,55537987332937874793,39251961189670836401,16286026143267038392,39251961189670836401,53871847712949738549,True
13,6953171,6953271,6953371,55492565020,55633932914,44804673737310798481,23001539901285421113,21803133836025377368,23001539901285421113,43460533525191474526,True
14,6953273,6953373,6953473,55633932914,55654077049,45422359074467660216,27584991162381704139,17837367912085956077,27584991162381704139,44059688302233630409,True
15,6953376,6953476,6953576,55654077049,55683199030,24362229240874107689,12635057484792481681,11727171756081626008,12635057484792481681,23631362363647884458,True
16,6953479,6953579,6953679,55683199030,55877193578,27985730584456427782,15712951368068620305,12272779216387807477,15712951368068620305,27146158666922734948,True
17,6953582,6953682,6953782,55877193578,55696613182,53077849007552204789,30907866377902450779,22169982629649754010,22169982629649754010,51485513537325638645,True
18,6953684,6953784,6953884,55696613182,55697000000,56963325564894060529,31825800642146238376,25137524922747822153,31825800642146238376,55254425797947238713,True
19,6953787,6953887,6953987,55697000000,55679566262,35812261269326808210,22508942772413248651,13303318496913559559,13303318496913559559,34737893431247003963,True
20,6953890,6953990,6954090,55679566262,55728207220,32078597918198787742,20668266506816499185,11410331411382288557,20668266506816499185,31116239980652824109,True
21,6953992,6954092,6954192,55728207220,55491875238,36367195961329787188,21081376313792722084,15285819647537065104,15285819647537065104,35276180082489893572,True
22,6954094,6954194,6954294,55491875238,55305815102,53170755768912517171,31091624093623210843,22079131675289306328,22079131675289306328,51575633095845141655,True
23,6954197,6954297,6954397,55305815102,55248152312,41318148399785845709,22543444164026497493,18774704235759348216,18774704235759348216,40078603947792270337,True
24,6954300,6954400,6954500,55248152312,55238524976,43964649405059516181,22513274237764874775,21451375167294641406,21451375167294641406,42645709922907730695,True
25,6954402,6954502,6954602,55238524976,55326958976,50080647109177134653,28870118123710760925,21210528985466373728,28870118123710760925,48578227695901820613,True
26,6954505,6954605,6954705,55326958976,55022924712,33772838125242425747,17821026989509357227,15951811135733068520,15951811135733068520,32759652981485152974,True
27,6954608,6954708,6954808,55022924712,54685617990,47246688544479451761,25474760825884618429,21771927718594833332,21771927718594833332,45829287888145068208,True
