epoch,genesis,completed,cancelled,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,treasuryAmount,bullBonusAmount,bearBonusAmount,lockPrice,closePrice,startTimestamp,lockTimestamp,closeTimestamp
28317,True,True,False,6900000000000000000,6395400000000000000,6900000000000000000,13282200000000000000,13200000000000000,0,0,36661600000,36711400000,1646935959,1646936259,1646936559
28318,False,True,False,6770000000000000000,6722300000000000000,6722300000000000000,13491700000000000000,600000000000000,0,0,36711400000,36681600000,1646936274,1646936574,1646936874
28319,False,True,False,6060000000000000000,5999400000000000000,6060000000000000000,12059400000000000000,0,0,0,36681600000,36706000000,1646936646,1646936946,1646937246
28320,False,True,False,5330000000000000000,5286700000000000000,5330000000000000000,10616400000000000000,300000000000000,0,0,36706000000,36798400000,1646936958,1646937258,1646937558
28321,False,True,False,6330000000000000000,6580000000000000000,6330000000000000000,12902500000000000000,7500000000000000,0,0,36798400000,36802600000,1646937267,1646937567,1646937867
28322,False,True,False,4920000000000000000,4870800000000000000,4920000000000000000,9790800000000000000,0,0,0,36802600000,36864500000,1646937577,1646937877,1646938177
28323,False,True,False,5420000000000000000,5270000000000000000,5270000000000000000,10685500000000000000,4500000000000000,0,0,36864500000,36803500000,1646937919,1646938219,1646938519
28324,False,True,False,5230000000000000000,5177700000000000000,5230000000000000000,10407700000000000000,0,0,0,36803500000,36886200000,1646938237,1646938537,1646938837
28325,False,True,False,5440000000000000000,5440000000000000000,5440000000000000000,10880000000000000000,0,0,0,36886200000,36896800000,1646938549,1646938849,1646939149
28326,False,True,False,6100000000000000000,5791500000000000000,6100000000000000000,11884000000000000000,7500000000000000,0,0,36896800000,36937100000,1646938858,1646939158,1646939458
28327,False,True,False,5445000000000000000,5375700000000000000,5445000000000000000,10820250000000000000,450000000000000,0,0,36937100000,36964600000,1646939167,1646939467,1646939767
28328,False,True,False,6990000000000000000,7374900000000000000,7374900000000000000,14355450000000000000,9450000000000000,0,0,36964600000,36952100000,1646939479,1646939779,1646940079
28329,False,True,False,5900000000000000000,5959000000000000000,5959000000000000000,11859000000000000000,0,0,0,36952100000,36925400000,1646939785,1646940085,1646940385
28330,False,True,False,6610000000000000000,6705900000000000000,6705900000000000000,13313800000000000000,2100000000000000,0,0,36925400000,36890000000,1646940097,1646940397,1646940697
28331,False,True,False,5715000000000000000,5956500000000000000,5715000000000000000,11662050000000000000,9450000000000000,0,0,36890000000,36913200000,1646940409,1646940709,1646941009
28332,False,True,False,5150000000000000000,5350000000000000000,5350000000000000000,10491000000000000000,9000000000000000,0,0,36913200000,36907100000,1646940719,1646941019,1646941319
28333,False,True,False,6440000000000000000,6554400000000000000,6440000000000000000,12992900000000000000,1500000000000000,0,0,36907100000,36907300000,1646941029,1646941329,1646941629
28334,False,True,False,6580000000000000000,6514200000000000000,6580000000000000000,13094200000000000000,0,0,0,36907300000,36988700000,1646941338,1646941638,1646941938
28335,False,True,False,4880000000000000000,4534200000000000000,4880000000000000000,9405200000000000000,9000000000000000,0,0,36988700000,37011300000,1646941648,1646941948,1646942248
28336,False,True,False,4860000000000000000,4671100000000000000,4860000000000000000,9523150000000000000,7950000000000000,0,0,37011300000,37024700000,1646941960,1646942260,1646942560
28337,False,True,False,5270000000000000000,5167800000000000000,5167800000000000000,10436300000000000000,1500000000000000,0,0,37024700000,37021800000,1646942272,1646942572,1646942872
28338,False,True,False,6530000000000000000,6605100000000000000,6605100000000000000,13133600000000000000,1500000000000000,0,0,37021800000,36991200000,1646942582,1646942882,1646943182
28339,False,True,False,5260000000000000000,5075100000000000000,5260000000000000000,10327150000000000000,7950000000000000,0,0,36991200000,37083900000,1646942893,1646943193,1646943493
28340,False,True,False,6640000000000000000,6093600000000000000,6093600000000000000,12718150000000000000,15450000000000000,0,0,37083900000,36969100000,1646943205,1646943505,1646943805
28341,False,True,False,6920000000000000000,6216400000000000000,6216400000000000000,13112550000000000000,23850000000000000,0,0,36969100000,36938300000,1646943514,1646943814,1646944114
28342,False,True,False,6560000000000000000,6227100000000000000,6560000000000000000,12779000000000000000,8100000000000000,0,0,36938300000,36995300000,1646943823,1646944123,1646944423
28343,False,True,False,4860000000000000000,4671100000000000000,4671100000000000000,9523150000000000000,7950000000000000,0,0,36995300000,36988300000,1646944132,1646944432,1646944732
28344,False,True,False,4560000000000000000,4560000000000000000,4560000000000000000,9120000000000000000,0,0,0,36988300000,37070600000,1646944441,1646944741,1646945041
28345,False,True,False,7360000000000000000,6816400000000000000,7360000000000000000,14160650000000000000,15750000000000000,0,0,37070600000,37082800000,1646944753,1646945053,1646945353
28346,False,True,False,6490000000000000000,6524600000000000000,6490000000000000000,13013700000000000000,900000000000000,0,0,37082800000,37190000000,1646945065,1646945365,1646945665
28347,False,True,False,4580000000000000000,4534200000000000000,4534200000000000000,9114200000000000000,0,0,0,37190000000,37177700000,1646945374,1646945674,1646945974
28348,False,True,False,5050000000000000000,5099500000000000000,5099500000000000000,10146500000000000000,3000000000000000,0,0,37177700000,37167300000,1646945692,1646945992,1646946292
28349,False,True,False,5910000000000000000,5968800000000000000,5968800000000000000,11877000000000000000,1800000000000000,0,0,37167300000,37166400000,1646946001,1646946301,1646946601
28350,False,True,False,5100000000000000000,5100000000000000000,5100000000000000000,10200000000000000000,0,0,0,37166400000,37169100000,1646946313,1646946613,1646946913
