epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
18942,9656326,9656426,9656526,34159542613,34200255442,3043750509740796189,2065921694985331809,977828814755464380,2065921694985331809,2952437994448572303,True
18943,9656429,9656529,9656629,34200255442,33992486771,5417830064754792939,267025345467813351,5150804719286979588,5150804719286979588,5255295162812149150,True
18944,9656533,9656633,9656733,33992486771,34032583104,15204103077572807912,603616094241409341,14600486983331398571,603616094241409341,14747979985245623674,True
18945,9656637,9656737,9656837,34032583104,34025277851,6138527267922781534,4006800184173652881,2131727083749128653,2131727083749128653,5954371449885098087,True
18946,9656740,9656840,9656940,34025277851,33893645781,3976399120728866418,2981360236485270962,995038884243595456,995038884243595456,3857107147107000425,True
18947,9656843,9656943,9657043,33893645781,33843000000,9456525157515734444,2163515441608137650,7293009715907596794,7293009715907596794,9172829402790262410,True
18948,9656947,9657047,9657147,33843000000,33760000000,6978576487418394586,2175375863237460510,4803200624180934076,4803200624180934076,6769219192795842748,True
18949,9657049,9657149,9657249,33760000000,33834473994,4767466141863115150,3503266780905442046,1264199360957673104,3503266780905442046,4624442157607221695,True
18950,9657152,9657252,9657352,33834473994,33883128278,7955887636411276018,3697360081593934487,4258527554817341531,3697360081593934487,7717211007318937737,True
18951,9657255,9657355,9657455,33883128278,33974142884,11613774529184476392,9477270350427572699,2136504178756903693,9477270350427572699,11265361293308942100,True
18952,9657358,9657458,9657558,33974142884,33977208517,12242176820357589413,2441019522483226450,9801157297874362963,2441019522483226450,11874911515746861730,True
18953,9657461,9657561,9657661,33977208517,33952000000,11103241942891698895,7191726212270794694,3911515730620904201,3911515730620904201,10770144684604947928,True
18954,9657565,9657665,9657765,33952000000,34003848053,6490352763320351435,5052075662799464636,1438277100520886799,5052075662799464636,6295642180420740891,True
18955,9657668,9657768,9657868,34003848053,34021536676,13623139554891024698,6836175551500152470,6786964003390872228,6836175551500152470,13214445368244293957,True
18956,9657771,9657871,9657971,34021536676,33989553521,14761544039103442739,2705113920047652059,12056430119055790680,12056430119055790680,14318697717930339456,True
18957,9657874,9657974,9658074,33989553521,34098480507,18279798798102561317,13525645238228839225,4754153559873722092,13525645238228839225,17731404834159484477,True
18958,9657977,9658077,9658177,34098480507,34100964057,12807415377050940240,9001823381510902949,3805591995540037291,9001823381510902949,12423192915739412032,True
18959,9658080,9658180,9658280,34100964057,34123000000,10631294378158275947,6863816207887440003,3767478170270835944,6863816207887440003,10312355546813527668,True
18960,9658183,9658283,9658383,34123000000,34120608177,12188707082084409861,8790316597260836636,3398390484823573225,3398390484823573225,11823045869621877565,True
18961,9658287,9658387,9658487,34120608177,34126200806,20969198885098278276,3735190219053421543,17234008666044856733,3735190219053421543,20340122918545329927,True
