account,played,winnings,winnings even money,average bet size
0x4ce7af418a2f1a84266d91aee06aa3a6d8420025,209,-40.73958936990965,-25.973511699807407,1.704688995215312
0xaa171ddce4bb850d4eab701bb728515986da8878,265,-37.36926940624472,-19.055023071711084,0.7662641509433963
0x4b8ba6cfe45dde47c2c57b25c640f6f9a59a1d08,281,-26.09100779897903,-23.285700939180842,0.5291094504463211
0x30acb4634bbd6c6cdf9c5c87c0cf74e587efc186,166,-22.509380428665402,-20.728806347484326,0.7644022819298583
0xc0bd221dc8bd58446d53b6043fadf8ec45cf5316,59,-21.947828413013934,-8.47929764038991,2.865762711864407
0xe40a67bb6cc4b4a0a564d13f3fdaa7944cc6870d,58,-17.66065649370156,-10.427077618818629,1.4706896551724138
0x5bb4198143f2dc8b72df2ef83ff0b0f76e78c617,88,-17.24503498550105,-6.447948598010045,1.7720454545454556
0x6d4498bc19b5a77828bfc8d3a46bc84616f443b2,114,-16.61051739724137,-8.09817738937895,1.3565789473684213
0x81c0938c4a52c6bf3e96f6b32cdbc21ace1711d7,40,-14.41252357616177,-11.29801014540554,1.1444446824544723
0xddd6dbf1a8e90487b539038aa76739fe939e24fe,309,-14.025574665192662,-26.87204082819684,0.16216993320527
0xe027950cf11eef1283a627e7e958eef746db418f,61,-13.97044650426358,-11.718878313165781,1.3921150674899223
0x5a265b9bec3da359af174d80a300abd8883950f0,228,-13.546827700630935,-12.537314187804835,0.8639912280701746
0xfcaf9a5203507c1c2915d86c9a7dbad6368d9e5a,430,-12.6153257617338,-18.126088390266528,0.5023664607568769
0xd9f348b253b3cd40ee7a7099fbc4212e4bcefc41,403,-12.130070429247185,-15.27594368898082,0.6128570154905938
0x43005fb52cfe72efed262c0fb6adbeb5850e350c,39,-11.816295940126901,-15.881197471279759,0.5995337626258818
0x5d645b34287a941554046f7a3bd7af015a922e3b,21,-11.734956278873042,-4.464675280284604,1.7796840917688168
0xe81fe13618c253743bfe148d429e63afdb867fad,21,-11.597656690095967,-3.368246899988131,1.631904761904762
0x04444b4ee590562aad2e17526396a1dfed2fa4b9,25,-10.937490091927748,-5.822323628173352,1.1973197014156605
0x55f7184cf64e751001aff4888e6b8db40b74bd7e,997,-10.715306337220497,-18.1266460590872,0.21379306182388944
0x89601c127395d185f9b40fb53f53d5cf432d1fd1,171,-10.518637989518549,-19.939166185203767,0.4925730994152047
0xb30285abab139e87a89b6ada97b22ae79bfa896a,8,-10.444356498611373,-5.722178249305687,1.875
0xab1ab3c9cbfd21052d227d67c26a3d1246999214,1002,-10.397244440642455,-12.58553251565484,0.21327345309381265
0xfe7b670a9377302b19fdd2456d09c60718d9ba7e,645,-10.384028377294058,-15.75784815574202,0.20275132725964795
0xce3920deb1851974ab5a103ce8f087b64a2315a0,108,-10.35884489724368,-2.5844714766697905,1.0309582114871907
0x318395148d0f0dec644d548899b9aab2be9e177e,999,-10.089611796208603,-7.553590610725948,0.2121580388250479
0x2e01214ba901431be9f3e54a122f961a9a174483,552,-10.078359646448641,-13.569287852099336,0.33694747709733436
0xcc71158c622886f1c30c6b4dfc6dfe9d30d4d90c,73,-9.940574942992347,-16.466581303708985,0.4746568212656837
0xd57051fa3cd71d5607a9650dab726f3313477145,273,-9.764864293154055,5.446349816660733,4.012294204944959
0xf0e03ef0079251c906ee6fa05d28037291f8a651,463,-9.404642814102957,-41.182820205865056,0.23563714902807692
0x499d9e53714fb8d6df30a164773d807048f4b865,3,-9.248221192129403,-0.900851046800283,6.553333333333334
0xad483dc8c4482eafdbebbc98ea66a89e461cfbd9,404,-9.009414886742116,-47.10432918673756,0.17882269379495264
0xdb8ac218896d824a77ed500f7b0beefed0e0e955,37,-8.653749239559943,-0.6351425203855032,1.5162162162162163
0xdefbdea57f35f53dce6361029a94f6a83c522b1d,203,-8.636826393413934,-17.101231123783997,0.32106551724137944
0xa172da45d45b0ce6c46ec25dcf866c145f0f0e33,465,-8.38890297488731,-23.120228642537114,0.1460695547457835
0x3378ed4a69cc97e27954ac4cbfbfe080f332c790,994,-8.381543980767653,-8.109224461241107,0.16574338529690974
0x02775a1ee11f2ef25d1ac7ca76cf6c1b0ac8811e,17,-8.146986308613478,-5.3281665975019585,0.9233059822273547
0x486705f51ee454a6301320bc21ff21adf97e7666,174,-7.876068415635822,16.038960805652046,0.22660919540229885
0xe9f971a510747118eaffb1bf78411eace3102a31,339,-7.81703684870165,-1.5732030667839931,0.9027210937830081
0x1f970d48b7f5e18026f0e4985bf605b0fa038bdf,76,-7.7690641796706705,3.424396102705888,0.5074336173361665
0x039a06d1fe20184f31d3fe3e79510431a08bff3b,496,-7.743777518845801,-16.284613642710017,0.203228558035879
0x68a443c1ac3661fc20ea44d6e02b5600dfadf5a8,118,-7.712727965756023,-18.99622259258546,0.4128519924436049
0x020a6ac31de5fd4f647e566e595d055e03cb07fc,431,-7.4665473694714715,-23.441117343014447,0.25872833580047633
0x940650bfb23f22c2c05e1e65db7a0c0187f98667,46,-7.368131938430325,-0.5489651075701563,2.0913043478260867
0x59177a6e159e99a5c4a9c2c8f6f4f486d7fce31a,20,-7.096188132985273,-5.416710511222348,0.7007102731897941
0xa296de1614698086e4c554250d767a0a1d1daba9,106,-7.043152418267325,-13.931003666829787,0.8250769871093565
0xe024983edab3cfb87f8341d30709279800c414e4,462,-6.9492413120566985,-17.641614390155485,0.3227967471521232
0xcb1d24b3e938b9f01796a815c80b414829451ffe,99,-6.935391744855388,-2.410313742737253,0.4797008834890469
0xc1b495ad3d7e113c838e380cdb188c0eac94f93a,131,-6.894610518820271,-10.698283078185266,0.3252505569452309
0xd102137f5b5ed418509fed9dae2add1c2bc6cc71,20,-6.817882872313119,-9.341873045780162,0.7046474100931708
0x85ba792f47cbdebe73581bd7aaf1fa9710c08a98,828,-6.773030454554968,-52.49879115370022,0.14337694444444427
0x8fc1ec124ead9d470501e58804e5b654eec7a64c,7,-6.60162531839987,-3.590357198220258,1.5657142857142856
0x827408a0cb9460796bc46f8e756bf30ff0f7a2a5,176,-6.56215414076342,-16.713666191041415,0.3915437499999999
0x9b379900d4c4d0ffb72464d34c4269c062d7724b,184,-6.526512473444526,-13.671162845158843,0.31602345664084325
0xf4ccbe6e8e60b9d274842614c8a1d13d1fdac0b4,36,-6.270510866952465,-3.3352698390346998,0.502250050579845
0x01a5054081c60d1fae497dda4fa678949eafd99a,34,-5.881796748985668,-3.0129747256168384,0.4469736676221305
0x3c0effaae17b45aaf2f2ef03d27e875a3940d485,11,-5.802601232145449,-5.67248005892444,0.7103501634693958
0x244ea7eec6fb703e59d0c5ab8a2a1f2aaeed40b4,505,-5.71550985501421,-35.706004881779585,0.17519193254092963
0xe1ef529c216ec711a1058e83fac42fa2301e7223,37,-5.704170921641795,-3.286601793218135,0.9975948665676628
0x4c6ed6e23b342bdbd007fa684ea4119ff7ee9156,15,-5.668042139181473,-4.320471158663518,0.76
0x20058460cad13d81af47db2b9cbc67e217ba0e01,662,-5.6455297870167485,23.941799134693635,0.19407854984894288
0x86dd6eae86652d0cd5dbac7b535d9f5553bc89fe,318,-5.619655260314175,-12.71916248538285,0.15156521297660464
0x7f251c1efb69f42b4d1b231059158e6e7151301c,28,-5.606502924730069,-0.26695060795101355,0.6914285714285714
0x8d608ec19c7cbe031c4d412c23a23e7f62ef7b03,68,-5.518025377790317,-1.8616395984811442,0.6885529585192175
0x55edeaadb0ad22b53af334692f668ce33fc814e2,31,-5.465119418995671,-10.930238837991341,0.5
0x676d6c393fa1a088bb146cb294b8777066e1da4e,138,-5.453353956202716,-27.401227279982947,0.2833333333333332
0x16503080e7f1d11ec631c80fe9a7cabd20384370,19,-5.41848957570403,-4.787655477615816,0.6192108738448167
