id,status,startTime,endTime,priceTicketInCake,discountDivisor,rewardsBreakdown1,rewardsBreakdown2,rewardsBreakdown3,rewardsBreakdown4,rewardsBreakdown5,rewardsBreakdown6,treasuryFee,cakePerBracket1,cakePerBracket2,cakePerBracket3,cakePerBracket4,cakePerBracket5,cakePerBracket6,countWinnersPerBracket1,countWinnersPerBracket2,countWinnersPerBracket3,countWinnersPerBracket4,countWinnersPerBracket5,countWinnersPerBracket6,firstTicketId,firstTicketIdNextLottery,amountCollectedInCake,finalNumber
1,3,1625217139,1625231400,400000000000000000,2000,125,375,750,1250,2500,5000,2000,47932000000000000,0,0,0,0,0,1,0,0,0,0,0,0,12,4793200000000000000,1991227
2,3,1625299350,1625335200,380000000000000000,2000,125,375,750,1250,2500,5000,2000,0,0,0,0,0,0,0,0,0,0,0,0,12,14,4546248000000000000,1867350
3,3,1625337742,1625378400,360000000000000000,2000,125,375,750,1250,2500,5000,2000,0,0,0,0,0,0,0,0,0,0,0,0,14,14,3636998400000000000,1722990
4,3,1625378720,1625421600,360000000000000000,2000,125,375,750,1250,2500,5000,2000,37784315115789473,538426490400000000,0,0,0,0,19,4,0,0,0,0,14,206,71790198720000000000,1202898
5,3,1625421919,1625464800,350000000000000000,2000,125,375,750,1250,2500,5000,2000,117304144324571428,0,0,0,0,0,7,0,0,0,0,0,206,285,82112901027200000000,1848829
6,3,1625465123,1625508000,370000000000000000,2000,125,375,750,1250,2500,5000,2000,136891616873554285,1437361977172320000,0,0,0,0,7,2,0,0,0,0,285,369,95824131811488000000,1365425
7,3,1625508317,1625551200,360000000000000000,2000,125,375,750,1250,2500,5000,2000,68392181036538514,2154353702650963200,0,0,0,0,21,2,0,0,0,0,369,571,143623580176730880000,1426593
8,3,1625551520,1625594400,330000000000000000,2000,125,375,750,1250,2500,5000,2000,42916441633595338,1321987522061483727,25822822930934315468,1291141146546715773440,5164564586186863093760,0,6017,586,60,2,1,0,571,67464,25822822930934315468801,1683583
9,3,1625594717,1625637600,330000000000000000,2000,125,375,750,1250,2500,5000,2000,71407832544747452,2190424311188572158,37583069760393395986,714078325447474523750,0,0,5000,489,57,5,0,0,67464,121084,35703916272373726187520,1300852
10,3,1625637919,1625680800,310000000000000000,2000,125,375,750,1250,2500,5000,2000,95471803533376537,2867625807947964357,53230304060034088392,1013910553524458826517,28389495498684847142502,0,14868,1485,160,14,1,0,121084,288978,141947477493424235712512,1677169
11,3,1625681120,1625724000,320000000000000000,2000,125,375,750,1250,2500,5000,2000,138063391116814086,4096622879428478187,89643747714552581511,3809859277868484714250,15239437111473938857000,0,5519,558,51,2,1,0,288978,350981,76197185557369694285004,1022226
12,3,1625724320,1625767200,340000000000000000,2000,125,375,750,1250,2500,5000,2000,161048320181798685,4727918542479947132,91888487437374972504,1084794643357898980950,26035071440589575542800,52070142881179151085600,8083,826,85,12,1,1,350981,440596,130175357202947877714001,1388258
13,3,1625767519,1625810400,340000000000000000,2000,125,375,750,1250,2500,5000,2000,38719757052835676,1228905520000000000,22822531085714285714,199697147000000000000,0,0,2063,195,21,4,0,0,440596,464347,7987885880000000000000,1883390
14,3,1625810721,1625853600,350000000000000000,2000,125,375,750,1250,2500,5000,2000,147155335867429241,4513278419550224887,79219913311578947368,1114946928088888888888,0,0,6819,667,76,9,0,0,464347,539530,100345223528000000000000,1027365
15,3,1625853919,1625896800,350000000000000000,2000,125,375,750,1250,2500,5000,2000,122026876380656985,3688366338784090909,60386276802418604651,865536634168000000000,0,0,7093,704,86,10,0,0,539530,617583,86553663416800000000000,1303437
16,3,1625897122,1625940000,350000000000000000,2000,125,375,750,1250,2500,5000,2000,101508612841728949,3033051987768037480,61983966686195744680,924840137857523809523,38843285790016000000000,77686571580032000000000,19133,1921,188,21,1,1,617583,832937,194216428950080000000000,1053347
17,3,1625940321,1625983200,340000000000000000,2000,125,375,750,1250,2500,5000,2000,38888856832298136,1129823630075187969,18783317850000000000,0,0,0,1288,133,16,0,0,0,832937,847830,5008884760000000000000,1438219
18,3,1625983521,1626026400,340000000000000000,2000,125,375,750,1250,2500,5000,2000,82797445826879271,2501014590688073394,49848793670400000000,605801311966666666666,29078462974400000000000,0,17560,1744,175,24,1,0,847830,1043511,145392314872000000000000,1413036
19,3,1626026721,1626069600,330000000000000000,2000,125,375,750,1250,2500,5000,2000,143495632918299445,4249879785153284671,86256819343111111111,1109016248697142857142,0,0,5410,548,54,7,0,0,1043511,1104339,77631137408800000000000,1478849
20,3,1626069920,1626112800,320000000000000000,2000,125,375,750,1250,2500,5000,2000,141819063709749198,4476586278885714285,92089774879934693877,1253444158088000000000,15041329897056000000000,0,5303,504,49,6,1,0,1104339,1164297,75206649485280000000000,1253750
21,3,1626113121,1626156000,340000000000000000,2000,125,375,750,1250,2500,5000,2000,153002636001987577,4478804435694545454,107491306456669090909,656891317235200000000,0,0,2576,264,22,6,0,0,1164297,1192371,39413479034112000000000,1348033
22,3,1626156321,1626199200,340000000000000000,2000,125,375,750,1250,2500,5000,2000,157931025053733059,4807025575073000000,97152516885685894736,1025498789348906666666,3076496368046720000000,0,1948,192,19,3,2,0,1192371,1213666,30764963680467200000000,1223785
23,3,1626199521,1626242400,340000000000000000,2000,125,375,750,1250,2500,5000,2000,132694150988243045,3712551572214539130,56925790773956266666,1707773723218688000000,3415547446437376000000,0,1287,138,18,1,1,0,1213666,1227919,17077737232186880000000,1840471
24,3,1626242718,1626285600,370000000000000000,2000,125,375,750,1250,2500,5000,2000,155480099119021150,5022935440942108656,192306671167497874285,1121788915143737600000,4487155660574950400000,0,1443,134,7,2,1,0,1227919,1243269,22435778302874752000000,1514403
25,3,1626285921,1626328800,350000000000000000,2000,125,375,750,1250,2500,5000,2000,110818412984709923,3528691571355237052,53636111884599603200,1340902797114990080000,0,0,1210,114,15,1,0,0,1243269,1256147,13409027971149900800000,1454894
26,3,1626330591,1626372000,360000000000000000,2000,125,375,750,1250,2500,5000,2000,113506723478999458,3174340571870323850,53510312497242602057,1248573958268994048000,0,0,1100,118,14,1,0,0,1256147,1268637,12485739582689940480000,1816085
27,3,1626372320,1626415200,370000000000000000,2000,125,375,750,1250,2500,5000,2000,120220408970234661,4116815955956328398,135031563355367571456,375087675987132142933,2250526055922792857600,0,936,82,5,3,1,0,1268637,1278958,11252630279613964288000,1355637
28,3,1626415520,1626458400,370000000000000000,2000,125,375,750,1250,2500,5000,2000,168774570162602120,4479612064544790621,78243890727382342860,0,3912194536369117143040,0,1159,131,15,0,1,0,1278958,1292840,19560972681845585715200,1524658
29,3,1626458719,1626501600,380000000000000000,2000,125,375,750,1250,2500,5000,2000,168115060191072891,4235414903523481566,157557434411073514291,0,0,0,781,93,5,0,0,0,1292840,1301769,13129786200922792857600,1149394
30,3,1626501922,1626544800,400000000000000000,2000,125,375,750,1250,2500,5000,2000,147488190451034755,5477836031258854225,86428079604306366668,648210597032297750016,0,0,879,71,9,2,0,0,1301769,1311331,12964211940645955000320,1839351
31,3,1626545119,1626588000,390000000000000000,2000,125,375,750,1250,2500,5000,2000,133972685732548603,3660949260126382500,74846073762583820001,0,0,0,838,92,9,0,0,0,1311331,1320310,11226911064387573000192,1437296
